ballpark_name,home_team,capacity,location,year_opened,surface,roof_type,ballpark_image,ballpark_dimensions,team_logo
American Family Field,Milwaukee Brewers,"41900","Miluakee, WI",2001,Grass,Retractable,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/MillerParkJuly2018.jpg/1920px-MillerParkJuly2018.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/MillerParkDimensions.svg/1280px-MillerParkDimensions.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Milwaukee_Brewers_logo.svg/1280px-Milwaukee_Brewers_logo.svg.png
Angel Stadium,Los Angeles Angels,"45517","Anaheim, CA",1966,Grass,Open,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Angelstadiummarch2019.jpg/1920px-Angelstadiummarch2019.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/AngelStadiumDimensions.svg/1280px-AngelStadiumDimensions.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Los_Angeles_Angels_curved_wordmark.svg/2560px-Los_Angeles_Angels_curved_wordmark.svg.png
Busch Stadium,St. Louis Cardinals,"45494","St. Louis, MS",2006,Grass,Open,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Busch_Stadium_2022.jpg/1920px-Busch_Stadium_2022.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/BuschStadium_III_Dimensions.svg/1280px-BuschStadium_III_Dimensions.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/St._Louis_Cardinals_logo.svg/1920px-St._Louis_Cardinals_logo.svg.png
Chase Field,Arizona Diamondbacks,"48405","Phoenix, AZ",1998,Artifical Turf,Retractable,https://ballparkdigest.com/wp-content/uploads/2021/08/chasefield-2021-4.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/ChaseFieldDimensions.svg/1280px-ChaseFieldDimensions.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Arizona_Diamondbacks_logo.svg/1920px-Arizona_Diamondbacks_logo.svg.png
Citi Field,New York Mets,"41922","Queens, NY",2009,Grass,Open,https://www.ballparksofbaseball.com/wp-content/uploads/2016/03/citi17951.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/CitiFieldDimensions.svg/1280px-CitiFieldDimensions.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/New_York_Mets.svg/1280px-New_York_Mets.svg.png
Citizens Bank Park,Philadelphia Phillies,"42792","Philadelphia, PA",2004,Grass,Open,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Citizens_Bank_Park_2021.jpg/1920px-Citizens_Bank_Park_2021.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/CitizensBankParkDimensions.svg/1280px-CitizensBankParkDimensions.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Philadelphia_Phillies_%282019%29_logo.svg/1920px-Philadelphia_Phillies_%282019%29_logo.svg.png
Comerica Park,Detroit Tigers,"41083","Detroit, MI",2000,Grass,Open,https://cdn.vox-cdn.com/thumbor/mT9sEjB215VBvH5xNVvYzDLBqfc=/1400x1050/filters:format(jpeg)/cdn.vox-cdn.com/uploads/chorus_asset/file/10091099/533776054.jpg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/ComericaParkDimensions.svg/1280px-ComericaParkDimensions.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Detroit_Tigers_logo.svg/1024px-Detroit_Tigers_logo.svg.png
Coors Field,Colorado Rockies,"50144","Denver, CO",1995,Grass,Open,https://www.ballparksofbaseball.com/wp-content/uploads/2016/03/coors23main.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/CoorsFieldDimensions.svg/1280px-CoorsFieldDimensions.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Colorado_Rockies_logo.svg/1280px-Colorado_Rockies_logo.svg.png
Dodger Stadium,Los Angeles Dodgers,"56000","Los Angeles, CA",1962,Grass,Open,https://www.ballparksofbaseball.com/wp-content/uploads/2016/03/dodger16_top3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/DodgerStadiumDimensions.svg/1280px-DodgerStadiumDimensions.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Los_Angeles_Dodgers_Logo.svg/1280px-Los_Angeles_Dodgers_Logo.svg.png
Fenway Park,Boston Red Sox,"37755","Boston, MA",1912,Grass,Open,https://blog.ticketmaster.com/wp-content/uploads/Fenway-Park-field.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/FenwayParkDimensions.svg/1280px-FenwayParkDimensions.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/RedSoxPrimary_HangingSocks.svg/1920px-RedSoxPrimary_HangingSocks.svg.png
Globe Life Field,Texas Rangers,"40300","Arlington, TX",2020,Artifical Turf,Retractable,https://img.bleacherreport.net/img/images/photos/003/906/454/hi-res-8a90548f1c9a00a26ba91446163e293b_crop_north.jpg?1615403332&w=3072&h=2048,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/GlobeLifeField.svg/1280px-GlobeLifeField.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Texas_Rangers.svg/1280px-Texas_Rangers.svg.png
